row_start,row_stop,runtime_s,valid_pixels
0,32,24.548151099999814,11434
32,64,78.66696199999933,58100
64,96,81.81267450000087,60777
96,128,79.88049630000023,57380
128,160,71.25576999999976,53520
160,192,69.39252699999997,50237
192,224,70.38133519999974,53328
224,256,72.17517049999879,53445
256,288,70.1148394999982,52023
288,320,71.455710000002,55544
320,352,72.62585940000281,56395
352,384,72.06437060000098,55076
384,416,73.2665448000007,55870
416,448,73.47062829999777,55499
448,480,74.90003889999934,56977
480,512,74.65426930000103,56827
512,544,72.02265709999847,56264
544,576,71.82356699999946,54607
576,608,74.24854409999898,56162
608,640,74.76944650000223,56709
640,672,75.64280519999738,56915
672,704,77.04181879999669,57145
704,736,79.36290180000287,59394
736,768,84.15916840000136,63588
768,800,83.4822963000006,64162
800,832,91.28650969999944,63283
832,864,93.43137729999944,62211
864,896,90.66594170000099,59562
896,928,87.81968159999815,58153
928,960,88.52788660000078,58815
960,992,87.62469509999937,59527
992,1024,92.75685499999963,61026
1024,1056,91.61316029999944,61577
1056,1088,98.51875960000325,60649
1088,1120,102.17995700000029,62546
1120,1152,102.50661009999749,63559
1152,1184,101.69031670000186,60746
1184,1216,101.58657559999847,61118
1216,1248,104.45126950000122,62889
1248,1280,106.98798559999705,64883
1280,1312,107.62101460000122,65753
1312,1344,118.5058140000001,63386
1344,1376,124.9105462999978,64051
1376,1408,129.5825967000019,66667
1408,1440,130.0083655999988,65763
1440,1472,131.6291659999988,66237
1472,1504,130.53581040000063,65047
1504,1536,134.23302209999747,68214
1536,1568,133.6410517000004,67560
1568,1600,128.95577860000049,67385
1600,1632,130.73786019999898,67275
1632,1664,129.02069060000213,66236
1664,1696,130.73928729999898,67155
1696,1728,127.69811259999915,66052
1728,1760,128.86891079999987,67575
1760,1792,132.8333946999992,69218
1792,1824,132.92258990000119,69728
1824,1856,130.5815091000004,69582
1856,1888,131.85592460000044,69984
1888,1920,131.7868499000033,69800
1920,1952,132.1543133999985,70513
1952,1984,134.2913058999984,70452
1984,2016,133.40190369999982,71009
2016,2048,129.18242069999906,70847
2048,2080,127.94967469999756,70780
2080,2112,124.58442350000041,70291
2112,2144,125.53231070000038,69723
2144,2176,126.71727979999923,70155
2176,2208,125.95783279999887,69836
2208,2240,123.91951849999896,69225
2240,2272,124.88474449999921,69616
2272,2304,123.04946410000048,70175
2304,2336,122.68914470000163,70191
2336,2368,117.05991039999935,69906
2368,2400,121.67701840000154,70014
2400,2432,120.52757099999872,69517
2432,2464,120.72281170000133,69747
2464,2496,119.35221159999855,69775
2496,2528,120.27368959999876,70057
2528,2560,117.29526470000201,69616
2560,2592,116.72793340000135,68784
2592,2624,113.28817809999964,67124
2624,2656,113.48865289999958,66601
2656,2688,112.15407069999856,65700
2688,2720,110.8425868000013,64989
2720,2752,109.54559959999824,64747
2752,2784,108.08408629999758,64307
2784,2816,105.85917079999854,63692
2816,2848,105.16393999999855,64025
2848,2880,98.93533299999763,63446
2880,2912,96.36838999999964,63914
2912,2944,95.97469790000105,64324
2944,2976,96.1472614000013,64802
2976,3008,94.85651300000245,64393
3008,3036,61.17556639999748,44224
